==============================================================================
NIFTY 100 - SPRINT 2 DAY 13 RATIO EDGE CASE LOG
==============================================================================

FINANCIALS CARVE-OUT
------------------------------------------------------------------------------
Financials companies found: 23
Expected specification count: 19
Actual database count: 23
High leverage flags on Financials rows: 0
STATUS: PASS - Financials leverage warning suppression is working.

Financials companies:
  - AXISBANK
  - BAJAJFINSV
  - BAJAJHLDNG
  - BAJFINANCE
  - BANKBARODA
  - CANBK
  - CHOLAFIN
  - HDFCBANK
  - HDFCLIFE
  - ICICIBANK
  - ICICIGI
  - ICICIPRULI
  - INDUSINDBK
  - IRFC
  - JIOFIN
  - KOTAKBANK
  - LICI
  - PFC
  - PNB
  - RECLTD
  - SBILIFE
  - SBIN
  - SHRIRAMFIN

ROCE SOURCE COMPARISON
------------------------------------------------------------------------------
Anomaly threshold: absolute difference > 5 percentage points
ROCE anomalies found: 833

ADANIPORTS | 2021 | calculated=4.1119 | source=12.9000 | difference=8.7881 | category=formula discrepancy
ADANIPORTS | 2021 | calculated=4.1119 | source=12.9000 | difference=8.7881 | category=formula discrepancy
ADANIPORTS | 2022 | calculated=3.0371 | source=12.9000 | difference=9.8629 | category=formula discrepancy
ADANIPORTS | 2022 | calculated=3.0371 | source=12.9000 | difference=9.8629 | category=formula discrepancy
ADANIPORTS | 2023 | calculated=2.7585 | source=12.9000 | difference=10.1415 | category=formula discrepancy
ADANIPORTS | 2023 | calculated=2.7585 | source=12.9000 | difference=10.1415 | category=formula discrepancy
ADANIPORTS | 2024 | calculated=2.6661 | source=12.9000 | difference=10.2339 | category=formula discrepancy
ADANIPORTS | 2024 | calculated=2.6661 | source=12.9000 | difference=10.2339 | category=formula discrepancy
ADANIPOWER | 2013 | calculated=2.5495 | source=32.2000 | difference=29.6505 | category=version difference
ADANIPOWER | 2014 | calculated=2.3179 | source=32.2000 | difference=29.8821 | category=version difference
ADANIPOWER | 2015 | calculated=2.3283 | source=32.2000 | difference=29.8717 | category=version difference
ADANIPOWER | 2016 | calculated=1.9519 | source=32.2000 | difference=30.2481 | category=version difference
ADANIPOWER | 2017 | calculated=2.1177 | source=32.2000 | difference=30.0823 | category=version difference
ADANIPOWER | 2018 | calculated=2.1871 | source=32.2000 | difference=30.0129 | category=version difference
ADANIPOWER | 2019 | calculated=2.1484 | source=32.2000 | difference=30.0516 | category=version difference
ADANIPOWER | 2020 | calculated=1.9050 | source=32.2000 | difference=30.2950 | category=version difference
ADANIPOWER | 2021 | calculated=1.7903 | source=32.2000 | difference=30.4097 | category=version difference
ADANIPOWER | 2022 | calculated=1.7381 | source=32.2000 | difference=30.4619 | category=version difference
ADANIPOWER | 2023 | calculated=1.6268 | source=32.2000 | difference=30.5732 | category=version difference
ADANIPOWER | 2024 | calculated=1.5110 | source=32.2000 | difference=30.6890 | category=version difference
AMBUJACEM | 2012 | calculated=28.7005 | source=12.8000 | difference=15.9005 | category=formula discrepancy
AMBUJACEM | 2013 | calculated=26.7298 | source=12.8000 | difference=13.9298 | category=formula discrepancy
AMBUJACEM | 2014 | calculated=25.1584 | source=12.8000 | difference=12.3584 | category=formula discrepancy
AMBUJACEM | 2015 | calculated=24.6652 | source=12.8000 | difference=11.8652 | category=formula discrepancy
AMBUJACEM | 2024 | calculated=6.0301 | source=12.8000 | difference=6.7699 | category=formula discrepancy
APOLLOHOSP | 2016 | calculated=10.4606 | source=17.2000 | difference=6.7394 | category=formula discrepancy
APOLLOHOSP | 2017 | calculated=10.0171 | source=17.2000 | difference=7.1829 | category=formula discrepancy
APOLLOHOSP | 2018 | calculated=9.6571 | source=17.2000 | difference=7.5429 | category=formula discrepancy
APOLLOHOSP | 2019 | calculated=9.2051 | source=17.2000 | difference=7.9949 | category=formula discrepancy
APOLLOHOSP | 2020 | calculated=9.2993 | source=17.2000 | difference=7.9007 | category=formula discrepancy
APOLLOHOSP | 2021 | calculated=7.3605 | source=17.2000 | difference=9.8395 | category=formula discrepancy
APOLLOHOSP | 2022 | calculated=6.6557 | source=17.2000 | difference=10.5443 | category=formula discrepancy
APOLLOHOSP | 2023 | calculated=6.1254 | source=17.2000 | difference=11.0746 | category=formula discrepancy
APOLLOHOSP | 2024 | calculated=5.2572 | source=17.2000 | difference=11.9428 | category=formula discrepancy
ASIANPAINT | 2013 | calculated=50.9216 | source=41.7500 | difference=9.1716 | category=formula discrepancy
ASIANPAINT | 2013 | calculated=50.9216 | source=41.7500 | difference=9.1716 | category=formula discrepancy
ASIANPAINT | 2015 | calculated=35.8721 | source=41.7500 | difference=5.8779 | category=formula discrepancy
ASIANPAINT | 2015 | calculated=35.8721 | source=41.7500 | difference=5.8779 | category=formula discrepancy
ASIANPAINT | 2016 | calculated=27.0298 | source=41.7500 | difference=14.7202 | category=formula discrepancy
ASIANPAINT | 2016 | calculated=27.0298 | source=41.7500 | difference=14.7202 | category=formula discrepancy
ASIANPAINT | 2017 | calculated=22.6727 | source=41.7500 | difference=19.0773 | category=formula discrepancy
ASIANPAINT | 2017 | calculated=22.6727 | source=41.7500 | difference=19.0773 | category=formula discrepancy
ASIANPAINT | 2018 | calculated=20.6978 | source=41.7500 | difference=21.0522 | category=formula discrepancy
ASIANPAINT | 2018 | calculated=20.6978 | source=41.7500 | difference=21.0522 | category=formula discrepancy
ASIANPAINT | 2019 | calculated=17.1532 | source=41.7500 | difference=24.5968 | category=formula discrepancy
ASIANPAINT | 2019 | calculated=17.1532 | source=41.7500 | difference=24.5968 | category=formula discrepancy
ASIANPAINT | 2020 | calculated=16.4563 | source=41.7500 | difference=25.2937 | category=version difference
ASIANPAINT | 2020 | calculated=16.4563 | source=41.7500 | difference=25.2937 | category=version difference
ASIANPAINT | 2021 | calculated=13.3175 | source=41.7500 | difference=28.4325 | category=version difference
ASIANPAINT | 2021 | calculated=13.3175 | source=41.7500 | difference=28.4325 | category=version difference
ASIANPAINT | 2022 | calculated=12.0203 | source=41.7500 | difference=29.7297 | category=version difference
ASIANPAINT | 2022 | calculated=12.0203 | source=41.7500 | difference=29.7297 | category=version difference
ASIANPAINT | 2023 | calculated=10.3264 | source=41.7500 | difference=31.4236 | category=version difference
ASIANPAINT | 2023 | calculated=10.3264 | source=41.7500 | difference=31.4236 | category=version difference
ASIANPAINT | 2024 | calculated=8.7303 | source=41.7500 | difference=33.0197 | category=version difference
ASIANPAINT | 2024 | calculated=8.7303 | source=41.7500 | difference=33.0197 | category=version difference
AXISBANK | 2015 | calculated=1.8419 | source=7.0600 | difference=5.2181 | category=formula discrepancy
AXISBANK | 2016 | calculated=1.5822 | source=7.0600 | difference=5.4778 | category=formula discrepancy
AXISBANK | 2017 | calculated=1.4248 | source=7.0600 | difference=5.6352 | category=formula discrepancy
AXISBANK | 2018 | calculated=1.2311 | source=7.0600 | difference=5.8289 | category=formula discrepancy
AXISBANK | 2019 | calculated=1.0667 | source=7.0600 | difference=5.9933 | category=formula discrepancy
AXISBANK | 2020 | calculated=0.9413 | source=7.0600 | difference=6.1187 | category=formula discrepancy
AXISBANK | 2021 | calculated=0.8718 | source=7.0600 | difference=6.1882 | category=formula discrepancy
AXISBANK | 2022 | calculated=0.7302 | source=7.0600 | difference=6.3298 | category=formula discrepancy
AXISBANK | 2023 | calculated=0.6489 | source=7.0600 | difference=6.4111 | category=formula discrepancy
AXISBANK | 2024 | calculated=0.5727 | source=7.0600 | difference=6.4873 | category=formula discrepancy
BAJAJ-AUTO | 2013 | calculated=54.3454 | source=33.5000 | difference=20.8454 | category=formula discrepancy
BAJAJ-AUTO | 2013 | calculated=54.3454 | source=33.5000 | difference=20.8454 | category=formula discrepancy
BAJAJ-AUTO | 2014 | calculated=43.4774 | source=33.5000 | difference=9.9774 | category=formula discrepancy
BAJAJ-AUTO | 2014 | calculated=43.4774 | source=33.5000 | difference=9.9774 | category=formula discrepancy
BAJAJ-AUTO | 2015 | calculated=39.6716 | source=33.5000 | difference=6.1716 | category=formula discrepancy
BAJAJ-AUTO | 2015 | calculated=39.6716 | source=33.5000 | difference=6.1716 | category=formula discrepancy
BAJAJ-AUTO | 2017 | calculated=24.7330 | source=33.5000 | difference=8.7670 | category=formula discrepancy
BAJAJ-AUTO | 2017 | calculated=24.7330 | source=33.5000 | difference=8.7670 | category=formula discrepancy
BAJAJ-AUTO | 2018 | calculated=21.6392 | source=33.5000 | difference=11.8608 | category=formula discrepancy
BAJAJ-AUTO | 2018 | calculated=21.6392 | source=33.5000 | difference=11.8608 | category=formula discrepancy
BAJAJ-AUTO | 2019 | calculated=19.0342 | source=33.5000 | difference=14.4658 | category=formula discrepancy
BAJAJ-AUTO | 2019 | calculated=19.0342 | source=33.5000 | difference=14.4658 | category=formula discrepancy
BAJAJ-AUTO | 2020 | calculated=20.4057 | source=33.5000 | difference=13.0943 | category=formula discrepancy
BAJAJ-AUTO | 2020 | calculated=20.4057 | source=33.5000 | difference=13.0943 | category=formula discrepancy
BAJAJ-AUTO | 2021 | calculated=16.2298 | source=33.5000 | difference=17.2702 | category=formula discrepancy
BAJAJ-AUTO | 2021 | calculated=16.2298 | source=33.5000 | difference=17.2702 | category=formula discrepancy
BAJAJ-AUTO | 2022 | calculated=14.8289 | source=33.5000 | difference=18.6711 | category=formula discrepancy
BAJAJ-AUTO | 2022 | calculated=14.8289 | source=33.5000 | difference=18.6711 | category=formula discrepancy
BAJAJ-AUTO | 2023 | calculated=15.0783 | source=33.5000 | difference=18.4217 | category=formula discrepancy
BAJAJ-AUTO | 2023 | calculated=15.0783 | source=33.5000 | difference=18.4217 | category=formula discrepancy
